Bounty,Start Lat,Start Lon,End Lat,End Lon,Launch Time,Target Lat,Target Lon,Blast Radius
18,-47.135,141.099,-42.770,-34.243,0,49.000,110.000,1
25,48.654,109.617,28.705,-24.978,32.727,-80.000,131.000,1
5,-52.440,-134.596,21.026,165.394,65.455,-2.000,122.000,1
8,67.739,-111.929,19.202,36.372,98.182,1.000,5.000,1
9,-56.122,76.347,19.978,133.565,130.909,53.000,164.000,1
29,38.877,43.228,46.128,-103.767,163.636,14.000,-18.000,1
3,-51.045,70.569,18.520,136.091,196.364,-54.000,-147.000,1
11,72.016,-148.400,17.857,24.567,229.091,-59.000,-158.000,1
1,53.009,5.343,7.947,106.022,261.818,-53.000,82.000,1
15,-3.733,149.075,37.580,61.953,294.545,-41.000,-31.000,1
7,49.016,102.984,28.277,-19.162,327.273,39.000,-153.000,1
