Bounty,Start Lat,Start Lon,End Lat,End Lon,Launch Time,Target Lat,Target Lon,Blast Radius
12,34.596,158.476,-28.964,-133.967,0.000,24.000,49.000,1.000
1,23.860,48.736,61.007,-168.308,25.714,-6.000,-144.000,1.000
1,23.860,48.736,44.395,-66.926,51.429,-68.000,-57.000,1.000
1,23.860,42.626,-47.327,110.065,77.143,-87.000,61.000,1.000
9,50.947,18.457,32.209,-122.480,102.857,-21.000,-97.000,1.000
17,3.821,-168.222,-21.438,-79.725,128.571,81.000,-1.000,1.000
13,-15.947,-128.532,-74.045,53.380,154.286,1.000,-145.110,1.000
9,64.136,-172.670,-9.427,-102.699,180.000,-45.000,127.000,1.000
16,45.473,-52.824,-9.430,-133.103,205.714,-18.000,0.000,1.000
18,-31.237,-147.062,58.184,-134.906,231.429,-53.000,172.000,1.000
3,-4.605,15.982,-7.586,-74.633,257.143,-68.000,-22.000,1.000
1,-21.887,-94.167,-62.728,47.029,282.857,54.000,-52.000,1.000
25,-31.009,41.493,19.212,-36.416,308.571,21.000,-43.000,1.000
5,-11.578,-100.722,-60.852,147.726,334.286,-37.000,72.000,1.000
