Bounty,Start Lat,Start Lon,End Lat,End Lon,Launch Time,Target Lat,Target Lon,Blast Radius
17,69.579,-47.765,-19.675,-25.466,0.000,-30.000,8.000,1.000
7,50.095,153.656,39.679,-33.592,30.000,14.000,-61.000,1.000
12,-29.903,7.940,56.006,39.420,60.000,28.000,25.000,1.000
21,-49.262,-18.002,39.679,-33.592,90.000,40.000,-34.000,1.000
28,-9.347,145.344,-76.290,12.912,120.000,-49.000,-21.000,1.000
24,71.356,-4.304,-18.447,-12.950,150.000,-20.000,-29.000,1.000
10,-15.793,-63.319,73.698,-54.696,180.000,16.000,117.000,1.000
5,4.970,-90.220,19.775,1.572,210.000,-14.000,119.000,1.000
23,33.229,-105.790,20.173,-1.864,240.000,-10.000,152.000,1.000
16,50.315,145.246,39.679,-33.592,270.000,-52.000,-121.000,1.000
20,52.999,-69.075,28.583,154.622,300.000,-75.000,-77.000,1.000
18,-48.934,110.758,-8.655,-149.181,330.000,-5.000,-118.000,1.000
